createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
12/17/2022 23:17:04,connorballgridshot,10,9mm,4,v1.39.4,55313,343.983539337807,334.486385345459,318.612489281631,333.48573412214,404.037994384766,332.792877197266,299.268768310547,398.977645874023,82,88,89,86,100,80,100,67,332.691465259272,85.92233,177,206,2.95461226,180,
12/17/2022 23:15:45,connorballgridshot,10,9mm,4,v1.39.4,60227,319.341278900971,307.209602355957,315.197453600295,306.86521987915,439.821813964844,283.893099975586,336.110824584961,352.581333705357,90,91,92,91,62,100,100,78,315.566851896398,89.90385,187,208,3.12160158,190,
12/17/2022 23:14:33,connorballgridshot,10,9mm,4,v1.39.4,51543,363.089621803977,322.095191592262,361.211673960966,341.574087778727,488.268676757813,293.819427490234,966.155639648438,277.399180094401,83,91,87,84,62,100,25,100,351.870205652146,84.42211,168,199,2.80434537,171,
12/17/2022 23:12:36,connorballgridshot,10,9mm,4,v1.39.4,48665,350.168933868408,383.564292907715,407.462540283203,391.507585680163,278.060974121094,262.20031399197,265.003036499023,371.612659454346,86,77,78,79,100,100,100,80,365.771836645809,82.2335,162,197,2.70422316,165,
12/17/2022 23:11:30,connorballgridshot,10,9mm,4,v1.39.4,54822,306.797085762024,362.982703830885,363.077353795369,316.648436279297,417.837196350098,349.49881439209,280.919367472331,306.18638420105,94,81,80,93,77,83,100,100,337.834416983468,86.63367,175,202,2.92136216,178,
12/17/2022 23:10:17,connorballgridshot,10,9mm,4,v1.39.4,43095,401.391498218883,362.409940719605,361.742185038905,406.421453857422,307.143920898438,545.501580132378,414.054005940755,324.814483642578,79,78,82,76,100,53,67,100,391.889608926331,76.26263,151,198,2.52054763,154,
11/27/2022 21:08:59,connorballgridshot,10,9mm,4,v1.39.4,50466,372.232795715332,374.149229049683,345.756436665853,337.197154101203,510.958140055339,266.683675130208,310.763732910156,252.710774739583,84,79,88,89,60,100,100,100,356.873516660748,84.18368,165,196,2.754355,168,
11/27/2022 21:07:33,connorballgridshot,10,9mm,4,v1.39.4,40976,404.82058132396,360.917810800913,470.717255728585,404.450122506278,522.662373860677,747.900192260742,329.896286010742,286.518188476563,77,84,68,80,60,40,100,100,409.399047003852,76.59575,144,188,2.4038403,147,
11/27/2022 21:06:24,connorballgridshot,10,9mm,4,v1.39.4,46323,398.679505177033,396.812369369879,382.851281386155,323.260007585798,327.082775115967,383.624440511068,294.659317016602,411.142738342285,75,77,81,88,100,75,100,80,376.005024126381,80.1020355,157,196,2.62073684,160,
11/27/2022 21:05:17,connorballgridshot,10,9mm,4,v1.39.4,48242,379.165855789185,351.577332889333,368.859884050157,358.733941567911,383.89624786377,504.886199951172,251.287212371826,228.877487182617,75,83,84,82,80,62,100,100,365.002007566852,80.5970154,162,201,2.70418143,165,
11/25/2022 23:42:08,connorballgridshot,10,9mm,4,v1.39.4,51913,338.084803771973,356.787649831464,356.420680454799,344.252180660472,311.897578648158,353.797339699485,613.134292602539,276.569377354213,91,84,88,87,100,79,57,100,350.473335403168,86.5284958,167,193,2.787681,170,
11/25/2022 23:40:57,connorballgridshot,10,9mm,4,v1.39.4,49587,359.205639961438,347.668384327608,381.785947245936,347.579411824544,400.820444742839,400.466083526611,498.780670166016,298.226403808594,87,87,84,88,75,73,67,100,362.63170171667,85.26315,162,190,2.704282,165,
11/25/2022 23:39:42,connorballgridshot,10,9mm,4,v1.39.4,48148,386.363143920898,358.201737758091,354.378840590968,391.340909390836,289.220336914063,490.0107421875,340.128824869792,371.642819213867,82,83,87,77,100,67,100,83,369.110615587235,82.90156,160,193,2.670869,163,
11/25/2022 03:17:49,connorballgridshot,10,9mm,4,v1.39.4,51179,341.628045571817,332.694106631809,382.997822086986,379.271516900313,340.052192687988,340.809909057617,279.916971842448,258.693450927734,88,90,82,81,100,83,100,100,355.455751533968,85.56701,166,194,2.770954,169,
07/02/2022 19:28:12,connorballgridshot,10,9mm,4,v1.39.4,54912,340.944194627845,317.056439717611,336.174109458923,358.013217926026,300.506912231445,387.823618570964,260.86626180013,283.060679117839,85,92,89,81,100,75,100,100,334.496878487723,87.0646744,175,201,2.921009,178,
07/02/2022 19:26:59,connorballgridshot,10,9mm,4,v1.39.4,47749,409.44659254286,361.63569502397,345.101419809702,369.438005174909,332.347789219448,303.445286051432,339.941650390625,401.57848815918,72,79,88,76,88,94,83,77,364.49714575347,80.0995,161,201,2.68740988,164,
07/02/2022 19:25:36,connorballgridshot,10,9mm,4,v1.39.4,50849,387.899299258278,319.041825905824,370.888094103014,318.520369658599,298.554077148438,482.810465494792,216.426399230957,297.520080566406,75,91,74,90,100,60,100,100,348.613761901855,81.95122,168,205,2.80406,171,
07/02/2022 19:13:44,connorballgridshot,10,9mm,4,v1.39.4,44801,386.592683231129,332.524109734429,415.578988817003,363.585554122925,380.489501953125,488.854044596354,241.489054361979,274.686157226563,74,82,73,75,75,60,100,100,374.175233683009,75.8454056,157,207,2.62059784,159,
07/02/2022 19:12:15,connorballgridshot,10,9mm,4,v1.39.4,52054,303.509947613972,286.716771577534,441.605867513021,328.560896774818,334.385026114328,397.317970275879,407.505264282227,382.762115478516,87,95,65,88,88,75,67,80,341.36885044031,82.21153,171,208,2.85442114,174,
07/02/2022 19:10:54,connorballgridshot,10,9mm,4,v1.39.4,44366,377.923125784738,402.849084854126,367.076774120331,385.507294113572,453.800816127232,522.217926025391,226.744415283203,261.298084259033,78,70,82,79,70,50,100,100,379.734579408324,77,154,200,2.57062054,157,
07/02/2022 19:09:37,connorballgridshot,10,9mm,4,v1.39.4,47494,322.143417782254,358.549361334907,353.465273611886,453.661097807043,311.932250976563,597.285085042318,326.107521057129,318.682047526042,92,82,85,68,100,50,100,100,369.092959038117,81.53846,159,195,2.653931,162,
07/02/2022 19:07:36,connorballgridshot,10,9mm,4,v1.39.4,48527,383.960655212402,330.590551757813,362.569343566895,357.488335132599,241.784912109375,245.245956420898,181.542991638184,275.155924479167,75,85,77,82,100,100,100,100,351.665020601249,80.5970154,162,201,2.703917,165,
